峅	U+5CC5 (U+5CC5)	e5b385
峆	U+5CC6 (U+5CC6)	e5b386
峇	cave, cavern (U+5CC7)	e5b387
峈	U+5CC8 (U+5CC8)	e5b388
峉	U+5CC9 (U+5CC9)	e5b389
峊	U+5CCA (U+5CCA)	e5b38a
峋	ranges of hills stretching on beyond another irregular peaks (U+5CCB)	e5b38b
峌	U+5CCC (U+5CCC)	e5b38c
峍	U+5CCD (U+5CCD)	e5b38d
峎	U+5CCE (U+5CCE)	e5b38e
峏	U+5CCF (U+5CCF)	e5b38f
峐	U+5CD0 (U+5CD0)	e5b390
峑	U+5CD1 (U+5CD1)	e5b391
峒	mountain in Gansu province (U+5CD2)	e5b392
峓	U+5CD3 (U+5CD3)	e5b393
峔	U+5CD4 (U+5CD4)	e5b394
峕	U+5CD5 (U+5CD5)	e5b395
峖	U+5CD6 (U+5CD6)	e5b396
峗	U+5CD7 (U+5CD7)	e5b397
峘	U+5CD8 (U+5CD8)	e5b398
峙	stand erect, stand up; pile up (U+5CD9)	e5b399
峚	U+5CDA (U+5CDA)	e5b39a
峛	U+5CDB (U+5CDB)	e5b39b
峜	U+5CDC (U+5CDC)	e5b39c
峝	Mountain in Gansu province (U+5CDD)	e5b39d
峞	high and uneven (U+5CDE)	e5b39e
峟	U+5CDF (U+5CDF)	e5b39f
峠	mountain pass; crisis, climax (U+5CE0)	e5b3a0
峡	gorge, strait, ravine; isthmus (U+5CE1)	e5b3a1
峢	U+5CE2 (U+5CE2)	e5b3a2
峣	high or tall (U+5CE3)	e5b3a3
峤	high pointed mountain (U+5CE4)	e5b3a4
峥	high, lofty, noble; steep, perilous (U+5CE5)	e5b3a5
峦	mountain range; pointed mountain (U+5CE6)	e5b3a6
